id,title,difficulty,portion,time,description,ingredients0,ingredients1,ingredients2,ingredients3,ingredients4,ingredients5,ingredients6,ingredients7,ingredients8,ingredients9,ingredients10,ingredients11,ingredients12,image,Step1,Step2,Step3,Step4,Step5,Step6
72,Flaming rum punch,Easy,Makes 1 litre,Hands-on time 15 min,"Fill your home with the aromas of oranges, cinnamon and cloves while making this wintery rum cocktail recipe. Great for Halloween or Bonfire night.",200ml dark rum,100ml brandy,Freshly squeezed juice of 3 large oranges,1 whole orange,45ml grenadine,500ml pineapple juice,30ml sugar syrup,1 cinnamon stick,Cloves,,,,,https://apipics.s3.amazonaws.com/coctails_api/72.jpg,"In a large jug, mix together the rum, brandy, the orange juice, grenadine, pineapple juice and sugar syrup with the cinnamon stick. Cover and chill until needed.","When ready to serve, either warm through in a pan if you’re serving hot, then transfer the punch to a bowl, or, if you’re serving it cold, add ice cubes. Slice up the orange and stick cloves into the top or bottom slice. Float these on top of the punch.","Warm a couple of ladlefuls of brandy in a saucepan until it steams. Pour it over the orange slices and set fire to the brandy using a long match. Once the flames have died down, ladle the punch into glasses garnished with halved orange slices.",,,
73,Olive-garnished martini,Easy,Serves 4,"Hands-on time 5 min, plus at least one hour chilling",Straight from the movies and in to your home; impress your guests with this sophisticated cocktail recipe.,120ml dry white vermouth,"500ml good quality gin or vodka (we like Tanqueray or Sipsmith gin, or Chase or Grey Goose vodka)",Green olives,,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/73.jpg,"Divide the vermouth among 4 martini glasses, swirl it round each glass so they’re coated, then tip the excess into a jug. Put the glasses in the freezer until needed. Pour the vodka or gin into the jug with the vermouth, stir with a long spoon to combine, then cover and freeze for at least 1 hour or overnight.","To serve, take the glasses out of the freezer and pour the cocktail equally among them. Garnish each with a good quality green olive and it’s a wrap.",,,,
74,Dulce de leche cocktail,Easy,Makes 3-4,Hands-on time 10 min,You don’t often get more indulgent than dulce de leche… Apart from when it’s made in to a coconut rum cocktail. This recipe isn’t for the faint hearted.,100ml coconut rum (Koko Kanu if you can find it but Malibu works too),100ml Bacardi,500ml whole milk,4 tbsp dulce de leche,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/74.jpg,"Put the coconut rum and Bacardi into a blender with the whole milk and dulce de leche (see tip). Blend for 2-3 minutes until frothy and well mixed. Either cover and chill for 4-6 hours or serve immediately, filling the glasses (or coconuts) with ice before pouring in the cocktail.","If you’re making it ahead and the froth disappears, give it another pulse of the blender or a quick whisk before serving.",,,,
75,Manhattan cocktail,Easy,Serves 6,"Hands-on time 10 min, plus chilling","A sophisticated, classic cocktail recipe of bourbon, sweet red vermouth and orange zest that’s sure to jazz up any dinner party.",360ml bourbon whiskey (we like Buffalo Trace),100ml sweet red vermouth,6 shakes of Angostura bitters,"6 pared, strips of orange zest",Maraschino cherries,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/75.jpg,Mix the bourbon whiskey in a jug with the vermouth and Angostura bitters. Chill until needed (up to 24 hours).," For each strip of orange, run the outer side round the rim of a low-ball or small wine glass, then put the strip inside the glass with a maraschino cherry.","To serve, add as much ice as you can to the jug, stir to combine for 30-40 seconds, then strain into the 6 prepared glasses.",,,
76,Spicy gingerbread vodka,Easy,Makes 1 litre,"Hands-on time 20 min, plus 4 days infusing","Debbie Major’s flavoured gingerbread vodka recipe, made with ginger, cinnamon, vanilla and cloves, makes a perfect edible gift to give at Christmastime.","75g fresh ginger, finely chopped (no need to peel)","75g crystallised ginger, chopped",2 x 7cm cinnamon sticks,10 cloves,"½ vanilla pod, split lengthways",100g light soft brown or light muscovado sugar,1 tsp black treacle,1 litre vodka,,,,,,https://apipics.s3.amazonaws.com/coctails_api/76.jpg,"Put all the ingredients into a large airtight jar. Give it a stir and leave it to infuse in a cool, dark place for 4 days, giving it a shake twice daily.",Strain the vodka into a bowl through a sieve lined with a double layer of muslin (discard the flavourings).,"Pour the finished vodka into bottles or decanters, seal, then store in a cool, dark place until needed.",,,
77,Pimm’s extra,Easy,1 large jug,Hands-on time 5 min,"Yes Pimm’s is great but a gin Pimm’s is a whole other level! Nectarines, cherries, cucumber and mint join Pimm’s, gin, lemonade and ginger ale for the ultimate sunshine cocktail. Ahhh, summer.",3 nectarines,200g cherries,½ cucumber,1 large bunch fresh mint,Lots of ice,Pimm’s,Gin,Ginger ale,Lemonade,Borage flowers,,,,https://apipics.s3.amazonaws.com/coctails_api/77.jpg,"To make a large jug, stone and slice the nectarines and cherries. Halve and slice the cucumber, then put all the fruit and cucumber in a jug with a large bunch of fresh mint and lots of ice so the jug is half full.","Pour in equal amounts of Pimm’s and gin until the jug is two thirds full, then top up with half ginger ale and half lemonade. Finish with borage flowers if you can find them (they’re available in large supermarkets and they grow well in gardens or pots).","To vary things, you could try sliced plums, summer berries, orange wedges, passion fruit pulp or pineapple slices. And instead of gin, try Cointreau – it’s much stronger in flavour so be sure to add it bit by bit.",,,
78,Lawnmower sling,Easy,Serves 6,Ready in 5 minutes,"A refreshing cocktail recipe made with Hendrick’s gin – with its trademark cucumber and rose petal notes – as well as tequila, lime, apple juice and soda water.","1 lime, quartered",100ml lime juice,240ml cloudy apple juice,300ml Hendrick’s Gin or similar,90ml elderflower cordial,6 dashes orange blossom water,30ml Jose Cuervo Especial,180ml soda water,Sliced cucumber to garnish,,,,,https://apipics.s3.amazonaws.com/coctails_api/78.jpg,Put the lime quarters in a 1 litre jug and muddle with the end of a rolling pin. Add the remaining ingredients and stir well. Top with soda and ice.,Garnish with sliced cucumber to serve.,,,,
79,Strawberry gin fizz,Easy,Makes 1 jug; serves 6-8,Hands-on time 10 min,"We’ve combined some of our favourite ingredients to make this refreshing summer drink recipe – strawberries, gin and prosecco.","400g fresh, ripe strawberries, hulled and roughly chopped","Small bunch fresh mint, leaves torn, plus extra small sprigs to serve","2 tsp caster sugar, dissolved in 30ml boiling water to make a syrup",100ml gin,2 handfuls ice cubes,1 bottle prosecco,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/79.jpg,"Put the strawberries, torn mint and half the sugar syrup in a large jug and muddle with the end of a rolling pin or handle of a wooden spoon until lightly crushed and bruised and releasing their juices.","Add the gin, ice cubes and prosecco, then stir and taste, adding extra sugar syrup if needed. Serve in chilled champagne flutes or glasses garnished with sprigs of fresh mint.",,,,
80,Homemade sloe gin,Easy,Makes 1 litre,"Hands-on time 20 min, plus resting",Harvest sloe berries in autumn and make sloe gin that will be ready come Christmastime. It’s the perfect festive tipple to enjoy yourself or give as a gift.,"450g sloe berries, washed and pricked",450g caster sugar,"70cl gin, a cheap bottle works fine","A large Kilner jar, sterilised",,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/80.jpg,"Add the sloes, sugar and gin to a Kilner jar and seal. Turn the jar every day for the first week or so to dissolve the sugar and colour the gin evenly.","Keep for at least 3 months before serving – ideally, pick the sloes in September and have the gin at Christmas.","When you’re ready to bottle it, line a sieve with a clean muslin cloth (or clean j-cloth) and set it over a large jug. Pour the contents of the jar through the muslin to strain it, then pour the liqueur into clean, sealable bottles.",,,
81,Classic cosmopolitan cocktail,Easy,Makes 1,Takes 5-10 minutes,"A proper cosmopolitan cocktail should be punchy, fruity and served short in classic martini glasses. Enjoy this pink drink at your next summer garden party.",Ice,50ml vodka,25ml triple sec,Juice of half a lime,75ml cranberry juice,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/81.jpg,"Fill a cocktail shaker with ice and add 50ml vodka, 25ml triple sec, the juice of half a lime and 75ml cranberry juice.","Shake well, then strain the contents into a cocktail glass or champagne coupe. Garnish with a lime wedge and serve.",,,,
82,Le vin d’orange,Easy,Makes about 1litre,"Hands-on time 15 mins, plus infusing","This orange wine is a vibrant combination of fresh oranges, rosé wine, vodka and vanilla. It makes a lovely homemade gift.",3 large juicy oranges (see tip),Juice 1 lemon (see tip),200g granulated sugar,750ml pale rosé wine,150ml vodka or eau de vie,"1 vanilla pod, split and scraped",,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/82.jpg,Blanch the unpeeled oranges in a large pan of boiling water for 3 minutes to kill off the natural yeasts on the surface of the peel that might cause fermentation. Drain.,"Halve the oranges and squeeze the juice into a large sealable jar or large bowl, then add the peel and the rest of the ingredients. Seal the jar or cover the bowl with a double layer of cling film, then leave to infuse for at least a month.","Strain through a muslin-lined sieve into a large jug. Decant into sterilised bottles (see Know-how), then seal and label.",,,
83,Ginger champagne cocktail,Easy,Serves 8-10,Takes 5 minutes to make,"This easy-to-make champagne cocktail is a punchy mixture of gin, ginger, lemon and champagne. Don’t forget to serve them with the mushroom and mozzarella arancini balls, too!",150ml good quality gin,100ml ginger cordial (we used Belvoir),½ lemon,Champagne to serve,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/83.jpg,"Put the gin in a jug with the ginger cordial and the lemon juice. Chill, covered, until needed (for up to 48 hours). To serve, pour about 3cm of the mixture into champagne flutes (or 2cm into coupes) then top with chilled champagne.",Garnish with lemon peel and serve.,,,,
84,"Spiced orange, raisin and cranberry vodka",Easy,for lots of people,Prepare in 20 minutes and marinate for 2 weeks,"This easy spiced vodka recipe contains all the fruity flavours of Christmas, marinated in booze – irresistible!",Zest and juice of 1 large orange,300g plump Californian raisins,200g light muscovado sugar,1 tsp mixed spice,150g dried cranberries,350ml bottle vodka,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/84.jpg,"Put all the ingredients into a large Kilner jar, secure tightly and shake well. Leave for two weeks to allow the flavours to develop. Strain through a very fine sieve into a jug, then pour into a bottle. Decorate the bottle with a label and a ribbon.","To give as a gift, wrap the bottle and 2 shot glasses in coloured cellophane and tie with a bow. Keeps for 1 month.",,,,
85,Iced negus punch,Easy,Serves 6,Hands-on 10 minutes,"Iced negus punch is a cocktail recipe make with white port, spiced syrup and fresh lemon juice. It’s a great drink to serve at parties.",500ml water,150g caster sugar,1 cinnamon stick,10 based cardamom pods,½ tsp pink peppercorns,2 star anise,Pared zest of 1 lemon,Pared zest of 1 orange,750ml white port,Fresh spices to garnish,"Crab apples to serve, if you can find them","Ice cubes, to serve","Grating of nutmeg, to serve",https://apipics.s3.amazonaws.com/coctails_api/85.jpg,"First, make a spiced syrup. Heat the water with the sugar, cinnamon stick, cardamom pods, peppercorns, star anise and the lemon and orange zests. When the sugar dissolves, simmer gently for 5 minutes, then take off the heat and cool completely.","Strain (discard the solids), then stir in 750ml white port.","Squeeze in lemon juice to taste, then chill.","To serve, pour into a punch bowl and garnish with fresh spices and crab apples, if you can find them. Throw in a few handfuls of ice cubes, then ladle into glasses and top with a grating of nutmeg.",,
86,Lagerita,Easy,Serves 1,Ready in less than 5 mins,Beer cocktails are everywhere at the moment. This one – a classic quencher with a twist – is made with tequila and lager.,25ml blanco (unaged) tequila,20ml freshly squeezed orange juice,15ml orgeat (you can use this from thewhiskeyexchange.com),"Lager, to top up",,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/86.jpg,Put some ice in a cocktail shaker with all the ingredients except the lager. Shake.,"Strain into a half-pint pot, then top up from a good quality, well-chilled lager.",,,,
87,Chocolate rum toddy,Easy,Makes 750ml,Hands-on time 20 min,"A new take on a hot toddy recipe, made with dark chocolate, rum and double cream. Perfect for taking on long wintry walks.","500ml hot tea, strong and milky",50g golden caster sugar,"100g dark chocolate, in pieces",2 tsp cocoa powder,About 100ml dark navy rum,Good splash double cream,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/87.jpg,"Pour the tea into a pan, add the sugar and heat until almost boiling. Put the chocolate and cocoa powder in a large jug and stir in a tiny splash of the tea until smooth and melted.","Add the rum to the pan and bring back almost to the boil, then stir it into the melted chocolate. Stir in the cream, then tip into a vacuum flask.",,,,
88,Rhubarb spritz cocktail,Easy,Serves 6,Hands-on time 15 min,"Jason Atherton’s rhubarb cocktail recipe is a twist on the classic spritz. He uses Kamm & Sons, a ginseng-based bitter aperitif, English fizz and a rhubarb syrup.",150ml Kamm & Sons,150ml rhubarb syrup,1 bottle Nyetimber Classic Cuvée sparkling wine or prosecco,200g caster sugar,"200g fresh rhubarb, chopped",,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/88.jpg,"To make the syrup, gently heat the sugar and rhubarb in a pan with 100ml water. Simmer for 5 minutes. Cool and strain through a sieve (reserve the pulp – see tips).","Divide the Kamm & Sons and 150ml cooled syrup among 6 glasses, top up with fizz, then stir gently.",,,,
89,Vesper martini,Easy,Makes one cocktail,5 mins,"This famous cocktail taken right out of Casino Royale is a wonderful recipe of gin and vodka – with a garnish of lemon. Shaken not stirred, or however you prefer, Mr Bond.",3 measures gin,1 measure vodka,½ measure Lillet (see tip),Lemon twist to serve,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/89.jpg,"Shake (don’t stir) all the ingredients over ice (see tip if making for a party), then strain into chilled martini glasses. Garnish with a lemon twist (see tip), then serve straightaway.",,,,,
90,Espresso martini,Easy,Serves 1,5 minutes,Recreate the classic espresso martini recipe at home with this easy cocktail recipe.,Ice,50ml vodka,50ml Kahlua,75ml cold espresso coffee,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/90.jpg,"Fill a cocktail shaker with ice, then pour over the vodka, Kahlua and coffee.","Shake vigorously, then strain into a martini glass and serve straightaway.",,,,
91,Mojito,Easy,Makes one,5 minutes,"A classic cocktail, fresh mint and a spoonful of sugar complement rum perfectly to make a refreshing, zingy treat.",35ml Captain Morgan Original Spiced Gold,17.5ml lime juice,50ml soda water,10 mint leaves,1 tbsp sugar,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/91.jpg,With a muddler press 10 mint leaves and 1tbsp sugar in a cocktail shaker to extract the juices and flavour.,Add crushed ice to the shaker.,"Using a jigger, measure 35ml Captain Morgan Original Spiced Gold and 17.5ml lime juice into the shaker.",Shake the mixture vigorously until the surface of the cocktail shaker feels chilled.,"Using a cocktail strainer, strain into a tall glass.",Top up the drink with 50ml soda water.
92,Strawberry pomegranate martini,Easy,Makes one cocktail,5 minutes,"Strawberries add a fruity edge to this martini cocktail, while a touch of pomegranate gives a refreshing twist.",5 strawberries,50ml vodka,15ml lemon juice,7ml pomegranate juice,25ml sugar syrup,Orange twist to garnish,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/92.jpg,"With a muddler, press down on 5 strawberries in a cocktail shaker to extract the juices and flavour.",Add ice cubes to the shaker.,"Add the vodka, lemon juice, pomegranate juice and sugar syrup to the shaker.",Shake the mixture vigorously until the surface of the cocktail shaker feels chilled.,"Using a cocktail shaker, strain into a martini glass.",Cut a piece of peel from an orange and twist it over the edge of the glass to garnish.
93,Hanky-panky-meister cocktail,Easy,Serves 8,Ready in 15 minutes,A variation on the hanky-panky that combines gin and sweet red vermouth with a splash of Fernet Branca bitters. This recipe uses a splash of Jägermeister too. A great festive cocktail.,175ml good dry gin,175ml sweet red vermouth (such as Martini Rosso),40ml Jägermeister,Ice cubes,8 x 4cm strips of pared orange peel,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/93.jpg,Pour all the alcohol into a tall jug and cover with a clean cloth.,"When your guests arrive, top up the jug with ice, stir gently for 30 seconds, then strain into 8 small glasses filled with fresh ice (you can use a cocktail shaker for this if you like).","Twist a strip of orange peel over the top of each glass to release the citrus oil, then drop into the cocktails.",,,
94,Scandinavian gin cocktail,Easy,Serves 1,Ready in 5 minutes,This fabulous cocktail recipe is made with Plymouth gin and a Scandinavian spirit called aquavit. Perfect for a cocktail or dinner party.,Ice cubes,50ml Plymouth gin,25ml aquavit (see tip),2 dashes of maraschino liqueur (see tip),1 fresh dill sprig,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/94.jpg,"Put a champagne coupe in the freezer. Fill a cocktail shaker two thirds full with ice. Pour in the gin, aquavit and liqueur, then shake well. Strain into the chilled glass, garnish with dill and serve.",,,,,
95,Chocolate cocktail,Easy,Serves 1,5 minutes,"This cocktail recipe combines lashings of dark chocolate and rum, contrasted with a sweet saffron syrup.",25 ml Ron Zacapa,35 ml Innis & Gunn Rum Finish,15 ml Dubonnet,10 ml Saffron Syrup,Dark Chocolate to serve,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/95.jpg,"Combine the Ron Zacapa rum, Innis & Gunn Rum Finish and the Dubonnet in a cocktail shaker.","Finish with 10ml saffron syrup, then stir and pour into a rocks glass with plenty of ice. Serve with dark chocolate.",,,,
96,Rhubarb Aperol spritz,Easy,Serves 6,takes 30 minutes to make plus cooling and chilling,"Bright pink and fizzy, this rhubarb and Aperol spritz cocktail makes the perfect pre-dinner tipple.",600g forced rhubarb,80g caster sugar,150ml clear apple juice,300ml Aperol,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/96.jpg,"Cut the rhubarb into small pieces and place in a pan with 80g caster sugar and 150ml clear apple juice. Bring to the boil, then simmer for 15 minutes.","Strain through a fine sieve, then put back on the heat to reduce to about 200ml.","Cool the syrup completely, then chill.","Take 6 wine glasses and, into each, pour 2 measures of Aperol to 1 measure of rhubarb syrup, then top up with chilled prosecco. Stir, then serve.",,
97,Pear and rosemary cocktail,Easy,Serves 1,5 minutes,"This cocktail recipe is made with vodka and pear wine, topped up with soda water and finished with rosemary",50ml Chase vodka,25ml Jo Hilditch pear wine,"1 tsp caster sugar, plus extra to frost the rim of the glass",Ice cubes,Soda water,Fresh rosemary sprig,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/97.jpg,Pour the vodka into a cocktail shaker.,Add the pear wine and sugar. Shake and pour into an ice-filled tumbler whose rim you’ve wet with pear wine and dipped in sugar.,Top up with soda water and garnish with the rosemary sprig.,,,
98,Basil and lemon martini,Easy,Serves 1,5 minutes,This martini is a cracker from the cocktail list at Theo Randall’s Italian restaurant in London’s InterContinental Hotel. Theo loves hurling basil into things – even the cocktails. And it works…,11 small fresh basil leaves,Small handful of ice,50ml gin (the small-batch stuff – have some respect),25ml limoncello,1 tbsp lemon juice,1 tsp sugar syrup,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/98.jpg,Muddle 10 of the basil leaves in a cocktail shaker.,"Add the ice, followed by the gin. Pour in the limoncello. Squeeze in the lemon juice.","Add the sugar syrup. Shake, then strain into a champagne coupe and finish with a basil leaf. Fantastico!",,,
99,Bloody Mary,Easy,Serves 6,Ready in 10 minutes,Our definitive version of the famous hair-of-the-dog cocktail – this Bloody Mary is simply unbeatable!,200ml vodka,50ml fino sherry (such as Tio Pepe),1 litre tomato juice,½-1 tbsp finely grated fresh horseradish (or English Provender Company Hot Horseradish),3 tbsp Worcestershire sauce,1-2 tsp Tabasco,Pinch of freshly ground black pepper,1-2 tsp celery salt,1 tsp caster sugar,"Juice of ½ lemon, other ½ sliced",6 celery sticks,,,https://apipics.s3.amazonaws.com/coctails_api/99.jpg,"In a large jug, whisk all the ingredients apart from the lemon slices and celery sticks, then add the lemon slices and plenty of ice.","To serve, pour into glasses and add a celery stick to each one.",,,,
